triple & rank \\
["[0, 0, 0]", "*", "*"] & 27 \\
["[1, 0, 0]", "*", "*"] & 27 \\
["[2, 0, 0]", "*", "*"] & 27 \\
["[0, 1, 0]", "*", "*"] & 27 \\
["[1, 1, 0]", "*", "*"] & 27 \\
["[2, 1, 0]", "*", "*"] & 27 \\
["[0, 2, 0]", "*", "*"] & 27 \\
["[1, 2, 0]", "*", "*"] & 27 \\
["[2, 2, 0]", "*", "*"] & 27 \\
["[0, 0, 1]", "*", "*"] & 27 \\
["[1, 0, 1]", "*", "*"] & 27 \\
["[2, 0, 1]", "*", "*"] & 27 \\
["[0, 1, 1]", "*", "*"] & 27 \\
["[1, 1, 1]", "*", "*"] & 27 \\
["[2, 1, 1]", "*", "*"] & 27 \\
["[0, 2, 1]", "*", "*"] & 27 \\
["[1, 2, 1]", "*", "*"] & 27 \\
["[2, 2, 1]", "*", "*"] & 27 \\
["[0, 0, 2]", "*", "*"] & 27 \\
["[1, 0, 2]", "*", "*"] & 27 \\
["[2, 0, 2]", "*", "*"] & 27 \\
["[0, 1, 2]", "*", "*"] & 27 \\
["[1, 1, 2]", "*", "*"] & 27 \\
["[2, 1, 2]", "*", "*"] & 27 \\
["[0, 2, 2]", "*", "*"] & 27 \\
["[1, 2, 2]", "*", "*"] & 27 \\
["[2, 2, 2]", "*", "*"] & 27 \\
["*", "[0, 0, 0]", "*"] & 27 \\
["*", "[1, 0, 0]", "*"] & 27 \\
["*", "[2, 0, 0]", "*"] & 27 \\
["*", "[0, 1, 0]", "*"] & 27 \\
["*", "[1, 1, 0]", "*"] & 27 \\
["*", "[2, 1, 0]", "*"] & 27 \\
["*", "[0, 2, 0]", "*"] & 27 \\
["*", "[1, 2, 0]", "*"] & 27 \\
["*", "[2, 2, 0]", "*"] & 27 \\
["*", "[0, 0, 1]", "*"] & 27 \\
["*", "[1, 0, 1]", "*"] & 27 \\
["*", "[2, 0, 1]", "*"] & 27 \\
["*", "[0, 1, 1]", "*"] & 27 \\
["*", "[1, 1, 1]", "*"] & 27 \\
["*", "[2, 1, 1]", "*"] & 27 \\
["*", "[0, 2, 1]", "*"] & 27 \\
["*", "[1, 2, 1]", "*"] & 27 \\
["*", "[2, 2, 1]", "*"] & 27 \\
["*", "[0, 0, 2]", "*"] & 27 \\
["*", "[1, 0, 2]", "*"] & 27 \\
["*", "[2, 0, 2]", "*"] & 27 \\
["*", "[0, 1, 2]", "*"] & 27 \\
["*", "[1, 1, 2]", "*"] & 27 \\
["*", "[2, 1, 2]", "*"] & 27 \\
["*", "[0, 2, 2]", "*"] & 27 \\
["*", "[1, 2, 2]", "*"] & 27 \\
["*", "[2, 2, 2]", "*"] & 27 \\
["*", "*", "[0, 0, 0]"] & 27 \\
["*", "*", "[1, 0, 0]"] & 27 \\
["*", "*", "[2, 0, 0]"] & 27 \\
["*", "*", "[0, 1, 0]"] & 27 \\
["*", "*", "[1, 1, 0]"] & 27 \\
["*", "*", "[2, 1, 0]"] & 27 \\
["*", "*", "[0, 2, 0]"] & 27 \\
["*", "*", "[1, 2, 0]"] & 27 \\
["*", "*", "[2, 2, 0]"] & 27 \\
["*", "*", "[0, 0, 1]"] & 27 \\
["*", "*", "[1, 0, 1]"] & 27 \\
["*", "*", "[2, 0, 1]"] & 27 \\
["*", "*", "[0, 1, 1]"] & 27 \\
["*", "*", "[1, 1, 1]"] & 27 \\
["*", "*", "[2, 1, 1]"] & 27 \\
["*", "*", "[0, 2, 1]"] & 27 \\
["*", "*", "[1, 2, 1]"] & 27 \\
["*", "*", "[2, 2, 1]"] & 27 \\
["*", "*", "[0, 0, 2]"] & 27 \\
["*", "*", "[1, 0, 2]"] & 27 \\
["*", "*", "[2, 0, 2]"] & 27 \\
["*", "*", "[0, 1, 2]"] & 27 \\
["*", "*", "[1, 1, 2]"] & 27 \\
["*", "*", "[2, 1, 2]"] & 27 \\
["*", "*", "[0, 2, 2]"] & 27 \\
["*", "*", "[1, 2, 2]"] & 27 \\
["*", "*", "[2, 2, 2]"] & 27 \\
